word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1860,0,2009,7,4.9904,True,"'tropical produce. sugar has receded 61 per cwt. on th?, week from last thursday. the sales here have been tolerably extensive, and at that alteration only half of the goods ..."
sugar,1860,0,2009,12,5.1275,True,"tropical_ produce. _ sugar continues firm at the advance paid last week of 10s., subsequently raised to 20s. per ton' over former rates. stocks here are now reduced to rather u..."
sugar,1860,0,2009,14,5.169,True,"grocers' gazette. bristol sugar b•r/let, priday.—the priors asked for raw sugar, though not beyond what the state of the market warnuits, still check burbles., and actual mien are l..."
sugar,1860,0,2009,20,5.2244,True,"...(lhis day.) potatoes. the markets continue to be but scantily supplied with the better qualities, and prices rule firm. colonial and foreign produce. sugar.—the colonial and foreign produce"
sugar,1860,0,2009,22,5.2307,True,"... his day.) potatoes. the markets continue to be but scantily supplied with the better qualities, and prices rule firm. colonial and. foreign produce. sugar.—the colonial and foreign produce "
sugar,1860,0,2009,34,5.3116,True,"london produce markets. wednesday. the sugar, coffee, and rum markets continue firm, with a good demand; but tin, iron, oil, tallow, and several other articles that have recently im- proved in v..."
sugar,1860,0,2009,56,5.4402,True,"trorical produce. we cannot notice any marked change in the prices of the leading, articles, the stock on hand, or the demand for them. sugar is likely to be a good crop in jamaica. for rice the inqui"
sugar,1860,0,2009,64,5.4767,True,"americans. liverpool produce.— in sugar the transactions have been moderate, and the rates accepted show a decline from the highest point of 6(1 to is per cwt. nothing done in molasses, and..."
sugar,1860,0,2009,68,5.4953,True,"london produce market. mincing-lane, july 6. sugar continues in good demand, moderate prices, however, prevail, stock being very largo and many arrivals near at hand. mauritius of brown quality brings"
sugar,1860,0,2009,69,5.5017,True,"london produce market. mincing-lane, july 6. sugar continues in good demand, moderate prices, however, prevail, stock being very largo and many arrivals near at hand. mauritius of brown quality brings"
sugar,1860,0,2009,82,5.5521,True,"commercial intelligence exchange on england, 665. to 675. on france, 85 to 85k. bahia, dec; 28. the sugar market is flat. holders refuse to submit to a reduction in prices. cotton remains without alte"
sugar,1860,0,2009,85,5.5654,True,"liverpool produce, -suoau—we have no change to notice in the state of business generally, the market for sugar and other produce, pending the uncertainty as to'tlie alteration in the duties, being fin"
sugar,1860,0,2009,107,5.6259,True,"• • 61jtd nig rztnxrt atarkti. in the liverpool, colonial produce market to- day the transactions reported were principally confined to sugar and rice. sugar holders having met the market more freely,"
sugar,1860,0,2009,108,5.6273,True,"...lonial produce market has remained quiet during the past week. in mest articles the prioes have been about the pro* averages. elooaa.—thl orinci, for sugar conti"
sugar,1860,0,2009,111,5.6339,True,"colonial produce markets. 8004i.—tor most hied/ of raw sugar there was a steady demand throughout the week, at mostly very full prices, but there was kiss animation towards the close of friday. refine"
sugar,1860,0,2009,131,5.6706,True,"mark.et,s. sugar.—biturrol, 3a/f. 3.—our market re-opeoeil the lit ram. with n arm appearance, but, owing to the se,' show of sugar in the market, there has bees but ..."
sugar,1860,0,2009,134,5.6745,True,"...nesday. there has been but a dull demand in most of the markets to. day, but it is only in exceptional cases that prices have given way perceptibly._ sugar is again—t"
sugar,1860,0,2009,140,5.6851,True,"mark.et,s. sugar.—biturrol, 3a/f. 3.—our market re-opeoeil the lit ram. with n arm appearance, but, owing to the se,' show of sugar in the market, there has bees but ..."
sugar,1860,0,2009,145,5.6879,True,"london produoe market. _ _ mincing-lane, may 12.—sugar—the market re- mains firm with few sellers at previous prices; the salsa in- clude 100 tons of manilla at extreme rates, and 1,400 bigs of brown "
sugar,1860,0,2009,146,5.689,True,"commercial intelligence exchange on england, 665. to 675. on france, 85 to 85k. bahia, dec; 28. the sugar market is flat. holders refuse to submit to a reduction in prices. cotton remains without alte"
sugar,1860,0,2009,154,5.7002,True,"mark e 7 s---7 his day. colonial and foreign produce. sugar.—lmports continue less than those of last year, whilst the deliveries for consumption and export era greater, and the stock (70,620 tons) is"
sugar,1860,0,2009,159,5.7116,True,"ilt,c 60.6)64 probuct sark et. in the liverpool colonial produce market to, ay, sugar continued flat, and prices were v....ther in molasses, rum, or rice there was nothing to report at. auction the ce"
sugar,1860,0,2009,166,5.7185,True,"markets. sugar.—thusrol, jcly 22.—tian has been very little business doing in the sagar market this week, and mime us rather lower. maid sugar is dull of gale at l►..."
sugar,1860,0,2009,171,5.7293,True,"tallow. the market is dull at 44s 61 spot 453 64.1 last three months. colonial and foreign produce. sugar is steady in value, with a great sale. coffee—supplies still large, and pricas is to 2s under "
sugar,1860,0,2009,172,5.7294,True,"tropical i'rodtioe. the sugar trade is in a curious position; firm in london, it recedes in glasgow, where another fall of 6d. to 9d. was recorded last week on refined lumps; but ..."
sugar,1860,0,2009,184,5.7615,True,"trinidad. the weather is very favourable for sugar mak- ing, and cocoa has come in more freely. consi- derable sales have been effected, principally good refining for the english market, at 4 dols, an"
sugar,1860,0,2009,200,5.7798,True,"the west indies. the weather at barbadoes continued fine the harvest promised to be a good one, the canes every- where were thriving, and the crop of sugar was ex- pected to reach 50,000 hogsheads. sh"
sugar,1860,0,2009,204,5.7899,True,"market& sugar.—bmwrof, jew. 19.—the demand fat 19 de soriptious of sugar continues extremely duu, sad the., of the week show a further decline of about 6d. wen tal..."
sugar,1860,0,2009,211,5.8013,True,"the french sugar duties. the sugar market, yesterday, vas again hrm, and a report is still strongly circulated thai the french duties are to be reduced, on the 15th o..."
sugar,1860,0,2009,217,5.8051,True,"ulf adartiat vrobuct atarket. in the liverpool colonial produce market to- day we have no general business to report; prices for sugar and rice were good. sugar there continued a good demand, and stif"
sugar,1860,0,2009,221,5.8124,True,"...ing-lane, wednesday. the markets have been only partially attended, and business in most departments has been kept in abeyance by the epsom races. in sugar the only transactions r"
sugar,1860,0,2009,224,5.8142,True,"london produce market. mincing-lane, june 22.—sugar.—the currency remains moderate in consequence of a large stock, but many parcels were sold to-day: mauritius, brown, at 28s lid to 33s 6d yellow, 34"
sugar,1860,0,2009,231,5.8231,True,"ma rket s. suc:a r.—the average price of brown or mincrie,l sugar, the produce of the britinh possessions in amara, for the week coding march 4, is 2:o. fed. per cwt., no:hi:mi.: of the customs duty.—"
sugar,1860,0,2009,234,5.8277,True,"business at jamaica was exceedingly du' the supplies were excessive, and the demand was limited for immediate consumption. coffee limited. sugar market plentifully supplied, and prices had declined. p"
sugar,1860,0,2009,239,5.833,True,"zbt ccrtratiat 33 whet ittaritti. the liverpool colonial produce market to-day was limited in business generally, but firm. sugar there continued a firm .tharket;_ 430 hhds. trinidad (including a smal"
sugar,1860,0,2009,244,5.8437,True,...has arrived with the above mails. at bar- badoes the weather was fine. keorn dull. good demand for irish butter. less pork and lard were saleable. no sugar offer
sugar,1860,0,2009,248,5.8457,True,"latest markets. london produce market. sugar in good demand, at full rates. a more ready sale for refined. coffee: a fair business. rates strong for native and plantation ceylon. tea demand bett..."
sugar,1860,0,2009,249,5.8507,True,"business at jamaica was exceedingly du' the supplies were excessive, and the demand was limited for immediate consumption. coffee limited. sugar market plentifully supplied, and prices had declined. p"
sugar,1860,0,2009,252,5.8546,True,"markets. sugar.—the average price of brown or muscovado sugar, the produce of the bneish poswesions in america, for the week ending feb. li, is 275. (kl per cwt., e..."
sugar,1860,0,2009,273,5.8871,True,ziu gobnittli pffkrittt °sarket. the liverpool colonial produce market to-day was unchanged. sugar and molasses nothing worthy of notice occurred: coffee 50 bags malabar found buyers at 71s 6d per cwt
sugar,1860,0,2009,293,5.9142,True,"...e to the 13th march. johnson, murderer of the captain and crew of the oyster sloop e. a. johnson, had arrived at pro- vidence. at port rico stocks of sugar were rapidly accu- mul"
sugar,1860,0,2009,300,5.9242,True,"zd..e probuct btarket. in the liverpool colonial produce market to- .tiay sugar continued much depressed, and molasses, itum, and coffee remained neglected in rice nothing farther was done. sugar: the"
sugar,1860,0,2009,301,5.9255,True,"ult. the crops of cotton, rice, and sugar were never better the fruit crop is so heavy that peaches barely pay the carriage. the first bale of this sea- son's cotton from mississippi reached ..."
sugar,1860,0,2009,303,5.9302,True,"bristol sugar-friday. there was little demand for sugar during the early part of the week, but it has now become more active. there have been sales of barbadoes to..."
sugar,1860,0,2009,304,5.9312,True,"colonial and foreign produce. sugar is still very dull of sale, al prices on the spot are 6d to 9d under those of last week. floating cargoes are also flat, but have not further given w..."
sugar,1860,0,2009,310,5.9496,True,"ilt,c 60.6)64 probuct sark et. in the liverpool colonial produce market to, ay, sugar continued flat, and prices were v....ther in molasses, rum, or rice there was nothing to report at. auction the ce"
sugar,1860,0,2009,319,5.9589,True,"commercial and markets. mincing-lane.—{this day.) sugar continues in steady request 10,000 bags ela manilla have realised 365. 6d. two cargoes havana to 16 fully insured at sol 9d., sad 144 insured. f"
sugar,1860,0,2009,321,5.9606,True,"commercial. new orleans, jan. 11.—the steamer blen- yille is below, with havannah dates to the 7th inst. sugar was dull, at 71 to 8 reals. stock, 29,000 boxes, against 20,500 boxes last year. cotton s"
sugar,1860,0,2009,322,5.964,True,"commercial intelligence exchange on england, 665. to 675. on france, 85 to 85k. bahia, dec; 28. the sugar market is flat. holders refuse to submit to a reduction in prices. cotton remains without alte"
sugar,1860,0,2009,327,5.9724,True,"ardottint probate '1,2 rad. the liverpool colonial produee karket to-day was limited in business. sugar a limited supply continued, and the business was consequently confined to 850 bags native madras"
sugar,1860,0,2009,332,5.9762,True,"tropical prodticil the sugar market continues very quiet, with a moderate demand for all qualities. good british west india brings 295. to 38s. 6d.; low madras commands only 16s...."
sugar,1860,0,2009,336,5.9781,True,"markets. sugar.—the average price of brown or "". sugar, the produce of the british possessions ii, \ for the week ending dec. 'a, is 295. 71 isar exclusive of the d..."
sugar,1860,0,2009,337,5.9789,True,"markets. sugar.—lftrwrot, mat i.—ths demand for both raw and **wed sugar bas become eiceediagly fiat, and arnall setae tan only be effected by submitting to a reduc..."
sugar,1860,0,2009,344,5.9854,True,"... produce market. the dealings in the foreign and colonial produce markets to-day were of a""very restricted character there were no public auctions of sugar or r"
sugar,1860,0,2009,356,5.9954,True,"colonial and foreign produce. sugar.—.lmports continue less than those of last year, whilst the deliveries for consumption and export ara greater, and the stock (70,620 tons) is 26,000 ..."
sugar,1860,0,2009,358,5.9957,True,"the west indies. the weather at barbadoes continued fine the harvest promised to be a good one, the canes every- where were thriving, and the crop of sugar was ex- pected to reach 50,000 hogsheads. sh"
sugar,1860,0,2009,360,6.0,True,"markets. sugar.—the average price of brown or m uacovatio bugar, the produce of the british poascaslond in aintri,4, for the week ending march 18, is 2.1 e. tild. p..."
sugar,1860,0,2009,370,6.0088,True,"liverpool produce market. the sugar market is rather better in tone; and a fair busineas has been done at rather harder rates. molasses 300 puns, old clayed cuba sold (ex quay) at 10, 6..."
sugar,1860,0,2009,373,6.0136,True,"trinidad. the weather is very favourable for sugar making, and cocoa has come in more freely. considerable sales have been effected, principally good refining for the english market, at 4 dols., and c"
sugar,1860,0,2009,382,6.0244,True,"bristol sugar-friday. there was little demand for sugar during the early part of the week, but it has now become more active. there have been sales of barbadoes to..."
sugar,1860,0,2009,389,6.0262,True,"london produce market. mincing-lane, wednesday. sugar is more in demand, and prices are 6d. to per cwt. higher than last week. of west india 550 hhds. have sold. at auction 590 hhds. 58 tierces cuba, "
sugar,1860,0,2009,390,6.0269,True,"-tropical produce. scarcely any change has occurred in the sugar market, even with large importations. refined goods are firm at full rates. teas sell in a very quiet and regular manner, with no specu"
sugar,1860,0,2009,405,6.0437,True,"london produce markets. wednesday. in the foreign and colonial produce markets to-day there was a moderate amount of business reported. sugar fully maintained former prices, while there was a fair dem"
