word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1850,0,4120,1,3.9853,True,"produce.—the markets for colonial produce during the week have been dull, with the exception of sugar, for which there has been a good demand both from grocers and refiners. saltpetre and brimstone ha"
sugar,1850,0,4120,6,4.1687,True,"... a good business done during the week in almost all descriptions of produce, and a general tone of firmness seems to prevail. to-day, the business in sugar is con- fined to refi"
sugar,1850,0,4120,7,4.2109,True,"1411 1850 } 24651 19675 47250 309244 409990 92070 3395501 ii 79245 produce.—there has been a fair demand for sugar both for export and home consumption, which has been firmly met at a decline of 6d to"
sugar,1850,0,4120,9,4.2128,True,"london produce market.-april 6. t 17.0 following sales are advertised for to morrow sugar 300 hills of west india, 18,000 bags of mauritius, 5.500 bags of ilengal, and 6,500 bags of madras. ccffee 00 "
sugar,1850,0,4120,15,4.272,True,"...kly summary of the produce markets. mincing-lame. saturday morning. we are this week enabled to advise an improvement in the ;niece of some articles. sugar has met with ready pur- chasers, at an ad"
sugar,1850,0,4120,16,4.2796,True,"805784 51621' 31306 30111 701 92413 5585 199072; 1770304 269670 22920 18750 20590 500 54180 • 3320 96830 900 487660 supply. of sugar at market, .the busness was confined to 50 hhds. demerara at 42.5. "
sugar,1850,0,4120,17,4.2802,True,"liverpool markets-yesterday. (written expressly for the northern daily times.) sugar has been taken to a fair extent to-day, the palebconi: prising 120 hilds, antigua, at 325. 6d. to 355. 200 bags ben"
sugar,1850,0,4120,19,4.289,True,"liverpool producz market, oct.. 21, sugar remams very quiet, and only 50 hhds, porto rica found buyers at 34s 3d to 34s 9d. the market is cleared of all suitable refining descriptions. grocer..."
sugar,1850,0,4120,22,4.3008,True,"... of tile produce markets. mincing-land, saturday morning. in the colonial markets this week there has been rather less animation. the public sales of sugar have g"
sugar,1850,0,4120,26,4.317,True,"prod u c e.—there has been an improved demand during the week for all descriptions of sugar at steady prices, and the sales amounted to 400 hhds. b. p., 8,000 bags bengal, and 200 mats mauritius. fore"
sugar,1850,0,4120,28,4.3253,True,"review of tue weer, the demand for sugar has improved. and an eitensive business has been done, partly on speculation, at full prices to 6d per cwt advance the sales comprise 140 hhds 8.p.. ..."
sugar,1850,0,4120,29,4.3311,True,"market intelligence. (from the london new price oarrent of this day.) sugar.—although the market has been less freely supplied with colonial, still prices have again declined home dealers not being di"
sugar,1850,0,4120,31,4.3329,True,"the mincing lane markets. in these markets this week there has been a larger business doing. the demand for sugar has increased, and very full rides have been obtained, notwithstanding the liberal sup"
