rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
59,gauged,bonded,consignment,turbots,bagging,uncorked,alcohol,whern,sawdust,chante,mucks,matchboxes
60,arrack,gypsum,nutmeg,calabash,ticketing,molasses,gulped,fourpenny,quaffing,sherry,distiller,whiskey
61,countervailing,sulphur,manufacture,breweries,consume,cupful,sweetmeats,retal,raisins,commodities,whiff,nougat
62,cargos,importation,gin,macaroni,candied,sprits,toffee,ducky,cannister,yarning,frankincense,sugars
63,casks,mangoes,retailers,exportation,pilfered,consumed,beetroot,oz,emissions,molasses,opium,fermented
64,chocolate,wool,cocos,crystallised,importation,biscuit,pulp,moulds,intoxicating,distiller,importing,sandwiches
65,mohair,maize,plantains,factored,grown,firewood,sawdust,eeches,abstaining,drinks,liqueurs,nicotine
66,spices,importers,bigs,soap,catsup,alcohol,cheese,cochineal,preservatives,imbibing,sampling,butterscotch
67,cardamom,invoiced,vitrified,cocos,groceries,fermented,candied,twopenny,sweepings,liqueurs,brandy,cookies
68,nuts,isinglass,bandanas,beer,silks,manufacture,sausages,bundling,wholy,hogshead,indie,cranberries
69,vitriol,silks,biscuit,importation,rum,sweetening,flaxseed,oranges,smuggle,muriatic,planter,distiller
70,cordage,bales,imports,nutmeg,borax,exporter,snuffs,pigments,coarsest,consumes,shellfish,knifes
71,flaxseed,shipment,cannisters,sago,smuggle,factored,naking,whiffs,surreptitious,canteens,labelling,rubbishy
72,sailcloth,sagar,holla,isinglass,pickles,sulphur,plantains,choo,kilogrammes,drinkable,invoiced,surreptitiously
73,scraps,gunpowder,flops,commodity,flasks,imbibing,scrapings,raisins,fumigate,untaxed,distillation,delicacies
74,gunpowder,sheeps,bristles,drawback,peppermint,spirits,consumable,julep,beefsteaks,valerian,horseflesh,munching
75,distilled,earthenware,cocoanut,raw,mucilage,candied,kilograms,intoxicating,fluxes,immoderate,eschewing,relishes
76,kegs,cloves,manometer,cotton,cannisters,invoiced,untaxed,beetroot,assayed,chees,relishes,pocketbook
77,berries,transit,blubber,parmesan,importing,import,giblets,plugs,thievish,sawdust,exportation,valises
78,herrings,refinery,hookah,starch,fermented,cigar,hogshead,addiction,cocktails,brandi,doux,firelighters
79,madder,consumable,brandies,timber,sweepings,flax,exported,oke,sugary,poach,incense,omelettes
80,bides,cheesy,cashew,rosin,bergamot,granulated,opium,chew,bartering,quid,leavings,sardines
81,borax,exported,cotton,drinks,packages,smuggling,sweetened,sublimate,handkerchief,frippery,trafficking,peppermints
82,ginseng,smoked,adulterated,woollens,hosen,guzzle,shellfish,fumes,turmeric,odoriferous,consume,condiments
83,linens,blubber,husks,leather,gristle,fuddled,uncooked,whiff,muriatic,peddles,liquors,sweetmeats
84,gruyere,prunes,situps,distilling,cigar,sweetened,auger,plantains,siliceous,infests,stimulants,uncorked
85,bundy,quintals,crushers,bonding,drawback,citron,nux,ryo,sweets,whiffing,nascent,whisks
86,ballast,tapioca,ginseng,semolina,seger,glutinous,bundles,sticks,drinks,fumigate,mangoes,stinkers
87,lemonade,botter,chillies,smoking,uncooked,catsup,bagi,lnter,gorging,gutta,scalping,cig
88,quantify,refiners,nippers,contraband,popper,bilking,cassava,blueish,traffickers,injecting,drinks,consuming
89,bordeaux,invoice,vermicelli,drinkable,inject,cask,packing,trull,cosmetics,guzzle,underselling,crawfish
90,baskets,unbleached,nux,pistachio,merchandise,quicksilver,sugary,frothing,spilled,fulminate,sugar,knapsacks
91,ullage,drawbacks,udders,drawbacks,adulterate,turpentine,cocktails,doctored,pickings,rum,obligingly,expertly
92,boundto,madder,refinery,nux,tinctures,drinkable,butter,scorch,wrapping,glutinous,prussic,quaff
93,cashew,hogshead,salt,sprats,gauging,bulked,dried,flatted,victuals,humanism,hookah,horseflesh
94,codfish,bleaching,bandana,peppe,cinnamon,coffe,cutouts,truffles,pulverized,consumable,restaurateur,musky
95,masthead,brandy,seaborne,uncooked,biscuits,cotton,storeroom,spirituous,stimulants,cureless,pimento,bootlaces
96,quintals,casks,sugary,husks,assaying,pipe,sassafras,toffee,destructively,commodity,sherbet,beakers
