word,decade,rank,neighbor,similarity
tobacco,1890s,16,brandied,0.6363717913627625
tobacco,1890s,17,vevy,0.6358341574668884
tobacco,1890s,18,beer,0.6356211304664612
tobacco,1890s,19,brandy,0.6342741847038269
tobacco,1890s,20,peppermint,0.6336738467216492
tobacco,1900s,1,cigars,0.7462024688720703
tobacco,1900s,2,snuff,0.7454095482826233
tobacco,1900s,3,snuffs,0.7387927770614624
tobacco,1900s,4,distilling,0.7359591126441956
tobacco,1900s,5,smokes,0.7060023546218872
tobacco,1900s,6,spirituous,0.7038090229034424
tobacco,1900s,7,cigar,0.7010133266448975
tobacco,1900s,8,hogshead,0.696504533290863
tobacco,1900s,9,sweetmeats,0.6922160983085632
tobacco,1900s,10,adulterating,0.691909909248352
tobacco,1900s,11,consumable,0.6912446618080139
tobacco,1900s,12,pouches,0.6888540387153625
tobacco,1900s,13,oranges,0.688489556312561
tobacco,1900s,14,addiction,0.6785882115364075
tobacco,1900s,15,victuals,0.6738894581794739
tobacco,1900s,16,contraband,0.6736984252929688
tobacco,1900s,17,morphine,0.673042893409729
tobacco,1900s,18,pouch,0.6721177697181702
tobacco,1900s,19,liquor,0.6706869602203369
tobacco,1900s,20,phosphorus,0.6699777841567993
tobacco,1910s,1,cigarettes,0.7780146598815918
tobacco,1910s,2,baccy,0.7368025183677673
tobacco,1910s,3,smokes,0.7169681787490845
tobacco,1910s,4,sweetmeat,0.7161300778388977
tobacco,1910s,5,pipeful,0.711530864238739
tobacco,1910s,6,chicory,0.7082014679908752
tobacco,1910s,7,cigs,0.7079298496246338
tobacco,1910s,8,icecream,0.7067608833312988
tobacco,1910s,9,spirituous,0.7060737013816833
tobacco,1910s,10,pouch,0.7039334177970886
tobacco,1910s,11,sweets,0.7027829885482788
tobacco,1910s,12,saccharine,0.7019636034965515
tobacco,1910s,13,distilling,0.7012283802032471
tobacco,1910s,14,flagons,0.7008610963821411
tobacco,1910s,15,unsweetened,0.700472891330719
tobacco,1910s,16,eatables,0.7000195384025574
tobacco,1910s,17,snuff,0.6988480091094971
tobacco,1910s,18,cigarette,0.698762834072113
tobacco,1910s,19,bonbons,0.6965477466583252
tobacco,1910s,20,fags,0.6963397860527039
