Word,Decade,JSD_vs_1910
coffee,1840,0.7376997622188765
coffee,1850,0.7376173333655588
coffee,1860,0.7378359628184301
coffee,1870,0.6960819437004343
coffee,1880,0.6746178486708243
coffee,1890,0.6095275845998835
coffee,1900,0.5351755978163928
tea,1840,0.6935621284813603
tea,1850,0.6831991191370411
tea,1860,0.6396822836943186
tea,1870,0.5488153572616203
tea,1880,0.5013201022708644
tea,1890,0.43780311217194506
tea,1900,0.3480896785210811
sugar,1840,0.764013819385714
sugar,1850,0.7609829486285283
sugar,1860,0.7305601688538402
sugar,1870,0.6708678511563952
sugar,1880,0.5824391078097462
sugar,1890,0.48891553542987215
sugar,1900,0.4410748692655873
opium,1840,0.6347548190849525
opium,1850,0.599471216196985
opium,1860,0.6006929699912882
opium,1870,0.4787342631432445
opium,1880,0.5223144076648317
opium,1890,0.48301675655665643
opium,1900,0.42397155295794686
cocoa,1840,0.7640473973975024
cocoa,1850,0.7473179726863443
cocoa,1860,0.7280358489235489
cocoa,1870,0.6670459335563507
cocoa,1880,0.6524394182404594
cocoa,1890,0.655230773062709
cocoa,1900,0.6371135719028638
tobacco,1840,0.67199166674145
tobacco,1850,0.6606207320941742
tobacco,1860,0.6226009422542084
tobacco,1870,0.6409531251640594
tobacco,1880,0.5798186993218732
tobacco,1890,0.540321698147379
tobacco,1900,0.4650746285171414
