word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
cocoa,1840,1,159,33,4.653,True,"sporting intelligence newmarket, wednesday. match-10 h ft. t. y. c. lord glasgow's physalis, 7st 71b (nat), beat lord exeter's cocoa nut, 7st. even betting. won by a head. match-50, h ft. d.m. sir j. "
cocoa,1840,1,159,43,4.7439,True,"thursday on thursday next, the 3d instant, at twelve o'clock, at nc 11, north john-street, 110 bags superior cocoa shell, landing ex peria, from ililboa.—apply to messrs. e. zwo— chenbart and co., mer"
cocoa,1840,1,159,63,4.8937,True,"friday on friday next, the 10th instant, at twelve o'clock, at the brokers' office, 20, exchange-buildings, 22 casks cocoa nut oil, 12 casks teel seed oil, 3 casks tallow ex crescent, from zanzibarapp"
cocoa,1840,1,159,65,4.9018,True,"g. merington, 154, new bond-street. ir amp oil, for the new patent lamp, 3s. a_al per gallon refined pale seal, 44. patent liquid cocoa nut, ss. vegetable, ss. 6d.; broad's peent lamp oil, nearly equa"
cocoa,1840,1,159,76,5.0101,True,"friday. on friday next, the ]oth instant, at twelve o'clock, at the brokers' office, 20. exchange-buildings, 22 casks cocoa nut oil, 12 casks teel seed oil, 3 casks tallow, ex crescent, from zanzibar."
cocoa,1840,1,159,77,5.018,True,"g. merington, 154, new bond-street. ir amp oil, for the new patent lamp, 3s. a_al per gallon refined pale seal, 44. patent liquid cocoa nut, ss. vegetable, ss. 6d.; broad's peent lamp oil, nearly equa"
cocoa,1840,1,159,81,5.0884,True,"_ ‘/- s ~f 48/ to 491 per tun. palm fine at 27s to 27s 6d per cwt. cocoa nut oil in steady request ceylon at 301 to 301 ss. sperm oil in good request, fine british at 751 to 761; inferior 731 to 741 p"
cocoa,1840,1,159,82,5.0887,True,"reduce their prices. cocoa nut has been in fair request' holders of olive oil manifest firmness. the trade have bee, inclined to operate, and several parcels have been disposed..."
cocoa,1840,1,159,90,5.1464,True,"for the illuminations. the cocoa nut candles, which are remarkable for their whiteness and beaut, do not, ike tallow-candles, make a cauliflower head to the wick when eft unsnuffed, ..."
cocoa,1840,1,159,91,5.1577,True,"diporte at greenock, april 1. union, of london, p. flett, from honduras, with 496 logs mahogany, 134 tons logwood, 8880 cocoa nuts, to order— boss, corbett as co., agents. 3. atalanta, of greenock, a."
cocoa,1840,1,159,101,5.2649,True,"substitute for horse hair. wildey and company's patent cocoa nut fibre for stuffing mattresses, couches, carriages, and all kinds of furniture. this material is a non-absorbent and powerful anti-conta"
cocoa,1840,1,159,105,5.3611,True,"substitute for horse hair. wildey and company's patent cocoa nut fibre for stuffing mattresses, couches, carriages, and all kinds of furniture. this material is a non-absorbent and powerful anti-conta"
