word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
cocoa,1860,0,270,98,5.5023,True,"c)rna-w.l ceylon brio & bags mocha packages mbar l india do. do. brasil & osala slai bogs cocoa bogs foreign out do. e do. wads rick ll tons saltpiii7i nalatill or penis bane 633 1,062 4.742 024 1,035"
cocoa,1860,0,270,209,6.8441,True,"mus—iy. t bhds i..i i:m.:::: manilla i haysoa i"" .... !_anlipahgeogstio do. oonitie—wi. _..p mods pica olher d. bells pad _do. _ _ ilr;a11 a owl; cocoa foreign. sax — de. 11 iwo, z.i 4: aillimiiimis •"
cocoa,1860,0,270,224,7.1728,True,"1011, itegionotreet, w„ cocoa of nodsltelnet. milt. w. stapleton bags to inform his namerous maids sad the antic mat, harries foe cam- sercial magma declined to renew the le years..."
cocoa,1860,0,270,253,8.0318,True,protv_.i. pro_ _ maw maravilla cocoa.- ritil the 0000 a es cacao) of mahatharirt• tbsobroom of unna. cocoa is indlginelle ainismot which mussing is • favoured portion. ta r brothers havi...
cocoa,1860,0,270,263,8.7284,True,"imperial parliament. ja the house of coo:mow on wedneeday, mr. divert moved the cocoa 1 reeding of the weights and mee.ures (metrics' sysiemi bill. he bared the progress i.f the movement in favour of "
cocoa,1860,1,407,25,4.6917,True,brussels carpets. tapestry carpets. velvet pile carpets. tummy 'caiipets. axminsttr carpets. kidderminster carpets. dutch hemp cocoa matti.nos. • india and fancy mattin(is. cocoa ma e's. druggists. • 
cocoa,1860,1,407,30,4.7876,True,brussels caipets. tapestry caipets. velvet pile carpets. turkey carets. axminster (arpets. kidderminwer carpets. dutch hemi carpets. cocoa mattngs. ridia and ency mattings. cocoa mats druggets. hearth
cocoa,1860,1,407,43,4.866,True,►rrzloar's cocoa nut mattlng sad camitul/001 flooil-cloth wardroo; nomomod from no. 412 to no. 10. litdoatz.hill. london.
cocoa,1860,1,407,44,4.8686,True,...t evening. liverpool cup. 11 to 2 agst argyle (taken and offered) 100 to 15 agst lictor (taken and offered) 9to 1 agst van amburgh (taken) 9to 1 agst cocoa nut (taken) 100 to
cocoa,1860,1,407,50,4.9081,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats. druguets. h
cocoa,1860,1,407,53,4.928,True,"hall and stairs. say six yards floor cloth, at 2s. 6d.. .. 15 0 cocoa nut door niat .. 3 0 sixteen stair rods and eyes 6 0 say ten yds. stair carpeting at i. 6d. 15 0 -- 1 19 0 best parlour. superior "
cocoa,1860,1,407,57,4.9565,True,...h & stockton g brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa matting& india and fancy matting
cocoa,1860,1,407,58,4.9585,True,"treloar's cocoa nut matting and rampitlicon floor-cloth waßeaorst, removed from no. 42 to no. 10. ludoatil-hill, london."
cocoa,1860,1,407,59,4.9616,True,...ission abroad. brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa matting&
cocoa,1860,1,407,60,4.9634,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattinos. cocoa mats. druggets. h
cocoa,1860,1,407,61,4.97,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats druggets. he
cocoa,1860,1,407,62,4.9738,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hem k carpets. cocoa matting& india and fancy mattings. cocoa mats. druggets. h
cocoa,1860,1,407,73,5.0146,True,brussels carpets: tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa ktattings. india and fancy mattings. cocoa mats. druggets. 
cocoa,1860,1,407,75,5.0183,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa matting& india and fancy mattings. cocoa mats. druggets. he
cocoa,1860,1,407,76,5.0209,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattinos. cocoa mats. druggets. h
cocoa,1860,1,407,79,5.0297,True,"...rse 6 6 strong kitchen table 12 6 four kitchen chairs .. 12 0 one knife box .. 1 19 6 hall and stairs. say six yards floor cloth, at 2s. 6d.. .. 15 0 cocoa"
cocoa,1860,1,407,80,5.0382,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats. druguets. h
cocoa,1860,1,407,82,5.0444,True,tricloars cocoa nut matting sad wutituoon nedolcloti wail=nov latovel doe mk d to do. 10. liidolmilill london. troltimr.b.—eipeoiai attention is ealledlo the now win...
cocoa,1860,1,407,83,5.0452,True,brussels carpets: tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa ktattings. india and fancy mattings. cocoa mats. druggets. 
cocoa,1860,1,407,85,5.0579,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats. druggets. h
cocoa,1860,1,407,88,5.0637,True,brussels carpets. tapestry carpets. velvet pile carpets. tummy 'caiipets. axminsttr carpets. kidderminster carpets. dutch hemp cocoa matti.nos. • india and fancy mattin(is. cocoa ma e's. druggists. • 
cocoa,1860,1,407,91,5.0707,True,brussels caipets. tapestry caipets. velvet pile carpets. turkey carets. axminster (arpets. kidderminwer carpets. dutch hemi carpets. cocoa mattngs. ridia and ency mattings. cocoa mats druggets. hearth
cocoa,1860,1,407,92,5.0742,True,...ck consists op brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattinos. india and fancy mattings. c
cocoa,1860,1,407,93,5.0749,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hem k carpets. cocoa matting& india and fancy mattings. cocoa mats. druggets. h
cocoa,1860,1,407,95,5.0796,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy matting s. cocoa mats. druggets. 
cocoa,1860,1,407,96,5.081,True,...ence—this do shrewsbury autumn meeting. (br electric telegraph.) salopian hurdle race. t j tcn ran city berrlng.—hits day. shrewsbury cup. gto 1 agst cocoa nut (taken) 7to 1 agst sylv
cocoa,1860,1,407,97,5.0837,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats. druggets. h
cocoa,1860,1,407,98,5.0865,True,"hall and stairs. say six yards floor cloth, at 2s. 6d.. .. 115 0 cocoa nut door mat .. .. 3 0 sixteen stair rods and eyes 6 0 say ten yds. stair carpeting at is. 6d. 15 0 1 19 0 best parlour. superior"
cocoa,1860,1,407,101,5.0954,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy mattings. cocoa mats druggets. he
cocoa,1860,1,407,102,5.099,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa mattings. india and fancy matting s. cocoa mats. druggets. 
cocoa,1860,1,407,107,5.1099,True,brussels carpets. tapestry carpets. velvet pile carpets. turkey carpets. axminster carpets. kidderminster carpets. dutch hemp carpets. cocoa matting& india and fancy mattings. cocoa mats. druggets. he
cocoa,1860,1,407,108,5.1116,True,"the london cocoa nut fibre company (limited). incorporated under th.. cmipanii a act, 1802, whereby the liability of every shareholder is limited to the-amount of his..."
cocoa,1860,1,407,112,5.1262,True,"the london cocoa nut fibre company (limited). incorporated under the ccmpanics act, 1862, whereby the liability of every shareholder is limited to the amount of his s..."
cocoa,1860,1,407,121,5.1369,True,"neni- the london cocoa nut fibre coy,pany (limited). incorporated under c: mpani( s act, 18f2, whereby the liability of every .shareholder is limited to the amount of his s..."
cocoa,1860,1,407,122,5.1377,True,"mine 7 sae london cocoa nut fibre company (limited). incorporatad under the gmoanif s act, 1862, whereby the liability of every shareholder is limited to the amount of his s..."
cocoa,1860,1,407,123,5.1381,True,"the london cocoa nut fibre company (limited). incorporated under the companies act, 18(2, whereby the liability of every shareholder is limited to the amount of his s..."
cocoa,1860,1,407,124,5.1413,True,"to stock-owners and feeders. sn .ort. damaged rica rice-meal, cocoa refuse, ar., se t 0... f.ssa priam nage frnm £5 108. la r 8 108 per t. °aimed od rail ill 16011a011. fial bo logo and yearsley, 27, "
