word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
cocoa,1850,0,474,1,3.7853,True,"export brush & mat manufactory walter 4r 1'! 33, south john .street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,2,3.7864,True,"export brush & mat manufacto ry walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,3,3.8052,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c, offices fitted up."
cocoa,1850,0,474,4,3.8052,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c, offices fitted up."
cocoa,1850,0,474,5,3.8073,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &a offices fitted up."
cocoa,1850,0,474,6,3.8087,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,7,3.8087,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,8,3.8087,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,9,3.8087,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,10,3.8096,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c: offices fitted up."
cocoa,1850,0,474,11,3.8132,True,"export brush & mit manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c orricrz yitiljj up. •"
cocoa,1850,0,474,12,3.8167,True,"export brush & mat manufactory walter morgan, 33. south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,13,3.8179,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o offices fitted up."
cocoa,1850,0,474,14,3.8191,True,"17xport brush &• mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,15,3.8228,True,"export brush & ma.t manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &a offices fitted up."
cocoa,1850,0,474,16,3.824,True,"export brush & mat manufactori walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o offices fitted bp."
cocoa,1850,0,474,17,3.8277,True,"export brusi-1 & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &e. offices fitted up."
cocoa,1850,0,474,18,3.8298,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o. offices fitted up."
cocoa,1850,0,474,19,3.8306,True,"xport brush & mat manufactory ____ walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, ft. offices fitted up."
cocoa,1850,0,474,20,3.8387,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, dal offices fitted up."
cocoa,1850,0,474,21,3.8421,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted ul\"
cocoa,1850,0,474,22,3.8426,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted vp."
cocoa,1850,0,474,23,3.8457,True,"export brush & mat manufactory walter mo\rgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,24,3.8512,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, ,ko offices fitted up."
cocoa,1850,0,474,25,3.8686,True,"export brush & mat manufactory walter niorgan, 33, south john street, cocoa fibre matting, carriage rugs, &c offices fitted up."
cocoa,1850,0,474,26,3.8724,True,"export brush & mat manufactory walter morgan, 334 south john street, cocoa fibre matting, carriage rugs, &e."
cocoa,1850,0,474,27,3.8855,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c, offices fitted up."
cocoa,1850,0,474,28,3.8898,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,29,3.8898,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,30,3.8898,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c. offices fitted up."
cocoa,1850,0,474,31,3.8904,True,"export brush' & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o offices fitted up."
cocoa,1850,0,474,32,3.8923,True,"export brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o"
cocoa,1850,0,474,33,3.8933,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &a, offices fitted up."
cocoa,1850,0,474,34,3.8934,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &o offices fitted up."
cocoa,1850,0,474,35,3.8948,True,"xport brush & mat manufactory walter morgan, 33, south john street, cocoa fibre matting, carriage rugs, &c' offices fitted up."
cocoa,1850,0,474,36,3.8996,True,"export brush & mat manufactory walter m organ, 33, south john street, cocoa fibre matting, carriage rugs, &c offices fitted up."
